Entrez Gene ID	Gene Symbol	Gene Name
391239	LOC391239	V-set domain containing T cell activation inhibitor 1 pseudogene
7634	ZNF80	zinc finger protein 80
85440	DOCK7	dedicator of cytokinesis 7
53371	NUP54	nucleoporin 54kDa
4809	NHP2L1	NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)
391211	OR2G6	olfactory receptor, family 2, subfamily G, member 6
100129046	LOC100129046	hypothetical LOC100129046
3281	HSBP1	heat shock factor binding protein 1
10245	TIMM17B	translocase of inner mitochondrial membrane 17 homolog B (yeast)
26015	RPAP1	RNA polymerase II associated protein 1
146540	ZNF785	zinc finger protein 785
51659	GINS2	GINS complex subunit 2 (Psf2 homolog)
51696	HECA	headcase homolog (Drosophila)
57551	TAOK1	TAO kinase 1
10380	BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1
3308	HSPA4	heat shock 70kDa protein 4
351	APP	amyloid beta (A4) precursor protein
22871	NLGN1	neuroligin 1
128977	C22orf39	chromosome 22 open reading frame 39
203259	C9orf25	chromosome 9 open reading frame 25
55775	TDP1	tyrosyl-DNA phosphodiesterase 1
2895	GRID2	glutamate receptor, ionotropic, delta 2
84630	TTBK1	tau tubulin kinase 1
83464	APH1B	anterior pharynx defective 1 homolog B (C. elegans)
6727	SRP14	signal recognition particle 14kDa (homologous Alu RNA binding protein)
100130321	LOC100130321	DNA fragmentation factor, 45kDa, alpha polypeptide pseudogene
729397	[No Symbol]	[No Name]
292	SLC25A5	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5
79722	ANKRD55	ankyrin repeat domain 55
643605	LOC643605	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2 pseudogene
3437	IFIT3	interferon-induced protein with tetratricopeptide repeats 3
9147	NEMF	nuclear export mediator factor
4318	MMP9	matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)
9365	KL	klotho
51209	RAB9B	RAB9B, member RAS oncogene family
10797	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase
55628	ZNF407	zinc finger protein 407
23398	PPWD1	peptidylprolyl isomerase domain and WD repeat containing 1
646913	SEPT7P3	septin 7 pseudogene 3
91056	DKFZp761E198	DKFZp761E198 protein
11282	MGAT4B	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B
55613	MTMR8	myotubularin related protein 8
2850	GPR27	G protein-coupled receptor 27
4691	NCL	nucleolin
359764	MRPS18CP3	mitochondrial ribosomal protein S18C pseudogene 3
847	CAT	catalase
100129761	LOC100129761	adenosylmethionine decarboxylase 1 pseudogene
10120	ACTR1B	ARP1 actin-related protein 1 homolog B, centractin beta (yeast)
9597	SMAD5-AS1	SMAD5 antisense RNA 1 (non-protein coding)
51027	BOLA1	bolA homolog 1 (E. coli)
337972	KRTAP19-5	keratin associated protein 19-5
5054	SERPINE1	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1
283600	SLC25A47	solute carrier family 25, member 47
79441	HAUS3	HAUS augmin-like complex, subunit 3
916	CD3E	CD3e molecule, epsilon (CD3-TCR complex)
440104	LOC440104	1110012D08Rik pseudogene
253959	RALGAPA1	Ral GTPase activating protein, alpha subunit 1 (catalytic)
393046	OR2A5	olfactory receptor, family 2, subfamily A, member 5
644186	C22orf41	chromosome 22 open reading frame 41
80067	DCAF17	DDB1 and CUL4 associated factor 17
7786	MAP3K12	mitogen-activated protein kinase kinase kinase 12
747	DAGLA	diacylglycerol lipase, alpha
3988	LIPA	lipase A, lysosomal acid, cholesterol esterase
2592	GALT	galactose-1-phosphate uridylyltransferase
56884	FSTL5	follistatin-like 5
100128310	LOC100128310	hypothetical LOC100128310
391205	[No Symbol]	[No Name]
55998	NXF5	nuclear RNA export factor 5
5834	PYGB	phosphorylase, glycogen; brain
4352	MPL	myeloproliferative leukemia virus oncogene
654480	LOC654480	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9) pseudogene
27314	RAB30	RAB30, member RAS oncogene family
100132214	[No Symbol]	[No Name]
6018	RLF	rearranged L-myc fusion
59343	SENP2	SUMO1/sentrin/SMT3 specific peptidase 2
80833	APOL3	apolipoprotein L, 3
170514	FTLP1	ferritin, light polypeptide pseudogene 1
3632	INPP5A	inositol polyphosphate-5-phosphatase, 40kDa
10227	MFSD10	major facilitator superfamily domain containing 10
440695	ETV3L	ets variant 3-like
65944	OR2B8P	olfactory receptor, family 2, subfamily B, member 8 pseudogene
359803	MRPS17P1	mitochondrial ribosomal protein S17 pseudogene 1
643353	LOC643353	C9orf140 pseudogene
100131213	NCRNA00245	non-protein coding RNA 245
441592	LOC441592	mas-related G-protein coupled receptor member X1-like
8490	RGS5	regulator of G-protein signaling 5
8737	RIPK1	receptor (TNFRSF)-interacting serine-threonine kinase 1
84699	CREB3L3	cAMP responsive element binding protein 3-like 3
222658	KCTD20	potassium channel tetramerisation domain containing 20
123862	LOC123862	interferon induced transmembrane protein pseudogene
23177	CEP68	centrosomal protein 68kDa
407044	MIR7-2	microRNA 7-2
100129476	LOC100129476	hypothetical protein LOC100129476
400223	[No Symbol]	[No Name]
148709	LOC148709	actin pseudogene
10085	EDIL3	EGF-like repeats and discoidin I-like domains 3
347404	LANCL3	LanC lantibiotic synthetase component C-like 3 (bacterial)
648927	LOC648927	histone acetyltransferase MYST2-like
254268	AKNAD1	AKNA domain containing 1
10347	ABCA7	ATP-binding cassette, sub-family A (ABC1), member 7
60558	GUF1	GUF1 GTPase homolog (S. cerevisiae)
11149	BVES	blood vessel epicardial substance
845	CASQ2	calsequestrin 2 (cardiac muscle)
92797	HELB	helicase (DNA) B
116534	MRGPRE	MAS-related GPR, member E
347734	SLC35B2	solute carrier family 35, member B2
717	C2	complement component 2
122942	FRDAP	Friedreich ataxia pseudogene
56911	C21orf7	chromosome 21 open reading frame 7
7581	ZNF33A	zinc finger protein 33A
672	BRCA1	breast cancer 1, early onset
5166	PDK4	pyruvate dehydrogenase kinase, isozyme 4
54981	C9orf95	chromosome 9 open reading frame 95
100131853	[No Symbol]	[No Name]
1838	DTNB	dystrobrevin, beta
727999	[No Symbol]	[No Name]
4694	NDUFA1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1, 7.5kDa
359821	MRPL42P5	mitochondrial ribosomal protein L42 pseudogene 5
65117	RSRC2	arginine/serine-rich coiled-coil 2
100129588	[No Symbol]	[No Name]
55846	ITFG2	integrin alpha FG-GAP repeat containing 2
54921	CHTF8	CTF8, chromosome transmission fidelity factor 8 homolog (S. cerevisiae)
1606	DGKA	diacylglycerol kinase, alpha 80kDa
57062	DDX24	DEAD (Asp-Glu-Ala-Asp) box polypeptide 24
27086	FOXP1	forkhead box P1
25909	AHCTF1	AT hook containing transcription factor 1
100130298	LOC100130298	hCG1816373-like
9924	PAN2	PAN2 poly(A) specific ribonuclease subunit homolog (S. cerevisiae)
4296	MAP3K11	mitogen-activated protein kinase kinase kinase 11
944	TNFSF8	tumor necrosis factor (ligand) superfamily, member 8
257103	NCRNA00205	non-protein coding RNA 205
114793	FMNL2	formin-like 2
166379	BBS12	Bardet-Biedl syndrome 12
285154	CYP1B1-AS1	CYP1B1 antisense RNA 1 (non-protein coding)
7326	UBE2G1	ubiquitin-conjugating enzyme E2G 1
81930	KIF18A	kinesin family member 18A
79970	ZNF767	zinc finger family member 767
8411	EEA1	early endosome antigen 1
201232	SLC16A13	solute carrier family 16, member 13 (monocarboxylic acid transporter 13)
100126518	TRNAE-CUC	transfer RNA glutamic acid (anticodon CUC)
114899	C1QTNF3	C1q and tumor necrosis factor related protein 3
92285	ZNF585B	zinc finger protein 585B
337882	KRTAP19-1	keratin associated protein 19-1
55603	FAM46A	family with sequence similarity 46, member A
100129572	LOC100129572	hypothetical protein LOC100129572
441862	LOC441862	DUT pseudogene
100131484	[No Symbol]	[No Name]
644517	LOC644517	family with sequence similarity 86, member A pseudogene
29766	TMOD3	tropomodulin 3 (ubiquitous)
79741	C10orf68	chromosome 10 open reading frame 68
64225	ATL2	atlastin GTPase 2
7920	ABHD16A	abhydrolase domain containing 16A
402135	OR5K2	olfactory receptor, family 5, subfamily K, member 2
83896	KRTAP3-1	keratin associated protein 3-1
84660	CCDC62	coiled-coil domain containing 62
79810	PTCD2	pentatricopeptide repeat domain 2
63027	SLC22A23	solute carrier family 22, member 23
83895	KRTAP1-5	keratin associated protein 1-5
84752	B3GNT9	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9
100132735	LOC100132735	hypothetical protein LOC100132735
56547	MMP26	matrix metallopeptidase 26
6881	TAF10	TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa
9128	PRPF4	PRP4 pre-mRNA processing factor 4 homolog (yeast)
7277	TUBA4A	tubulin, alpha 4a
440077	ZNF705A	zinc finger protein 705A
348825	TPRXL	tetra-peptide repeat homeobox-like
4193	MDM2	Mdm2 p53 binding protein homolog (mouse)
54815	GATAD2A	GATA zinc finger domain containing 2A
27430	MAT2B	methionine adenosyltransferase II, beta
400836	LOC400836	SDA1 domain containing 1 pseudogene
6474	SHOX2	short stature homeobox 2
353274	ZNF445	zinc finger protein 445
128710	C20orf94	chromosome 20 open reading frame 94
6653	SORL1	sortilin-related receptor, L(DLR class) A repeats containing
5283	PIGH	phosphatidylinositol glycan anchor biosynthesis, class H
390054	OR52A5	olfactory receptor, family 52, subfamily A, member 5
9890	LPPR4	lipid phosphate phosphatase-related protein type 4
100128587	[No Symbol]	[No Name]
123688	AGPHD1	aminoglycoside phosphotransferase domain containing 1
374618	TEX9	testis expressed 9
124801	LSM12	LSM12 homolog (S. cerevisiae)
400798	C1orf220	chromosome 1 open reading frame 220
7454	WAS	Wiskott-Aldrich syndrome (eczema-thrombocytopenia)
342776	MRPS17P7	mitochondrial ribosomal protein S17 pseudogene 7
120775	OR2D3	olfactory receptor, family 2, subfamily D, member 3
8848	TSC22D1	TSC22 domain family, member 1
11026	LILRA3	leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3
64840	PORCN	porcupine homolog (Drosophila)
5046	PCSK6	proprotein convertase subtilisin/kexin type 6
51316	PLAC8	placenta-specific 8
11197	WIF1	WNT inhibitory factor 1
100131641	LOC100131641	RNA binding motif protein 22 pseudogene
55821	ALLC	allantoicase
81470	OR2G2	olfactory receptor, family 2, subfamily G, member 2
730105	[No Symbol]	[No Name]
4477	MSMB	microseminoprotein, beta-
648822	HMGN2P18	high mobility group nucleosomal binding domain 2 pseudogene 18
55013	CCDC109B	coiled-coil domain containing 109B
79145	CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7
79862	ZNF669	zinc finger protein 669
170691	ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif, 17
55911	APOBR	apolipoprotein B receptor
100130535	LOC100130535	vimentin pseudogene
151888	BTLA	B and T lymphocyte associated
11135	CDC42EP1	CDC42 effector protein (Rho GTPase binding) 1
83416	FCRL5	Fc receptor-like 5
148213	ZNF681	zinc finger protein 681
6869	TACR1	tachykinin receptor 1
100130158	LOC100130158	chromosome 16 open reading frame 88 pseudogene
23536	ADAT1	adenosine deaminase, tRNA-specific 1
22938	SNW1	SNW domain containing 1
100132636	[No Symbol]	[No Name]
56970	ATXN7L3	ataxin 7-like 3
6671	SP4	Sp4 transcription factor
285116	AHCTF1P1	AT hook containing transcription factor 1 pseudogene 1
4161	MC5R	melanocortin 5 receptor
729291	LOC729291	hypothetical protein LOC729291
283416	C12orf61	chromosome 12 open reading frame 61
23518	R3HDM1	R3H domain containing 1
7473	WNT3	wingless-type MMTV integration site family, member 3
91151	TIGD7	tigger transposable element derived 7
114195	SIGLEC22P	sialic acid binding Ig-like lectin 22, pseudogene
84858	ZNF503	zinc finger protein 503
142680	SLC34A3	solute carrier family 34 (sodium phosphate), member 3
119391	GSTO2	glutathione S-transferase omega 2
100131796	LOC100131796	LP2570
51631	LUC7L2	LUC7-like 2 (S. cerevisiae)
84926	SPRYD3	SPRY domain containing 3
178	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase
100129202	LOC100129202	arginine/serine-rich coiled-coil 1 pseudogene
100129119	LOC100129119	hypothetical LOC100129119
100130798	LOC100130798	hypothetical LOC100130798
401074	LOC401074	hypothetical LOC401074
23233	EXOC6B	exocyst complex component 6B
255919	TMEM188	transmembrane protein 188
100129808	RPL24P6	ribosomal protein L24 pseudogene 6
140597	TCEAL2	transcription elongation factor A (SII)-like 2
114659	LRRC37B	leucine rich repeat containing 37B
29887	SNX10	sorting nexin 10
7580	ZNF32	zinc finger protein 32
441878	RPS4XP4	ribosomal protein S4X pseudogene 4
4223	MEOX2	mesenchyme homeobox 2
11138	TBC1D8	TBC1 domain family, member 8 (with GRAM domain)
285386	TPRG1	tumor protein p63 regulated 1
4715	NDUFB9	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9, 22kDa
283683	LOC283683	hypothetical LOC283683
5544	PRB3	proline-rich protein BstNI subfamily 3
100130049	LOC100130049	ribosomal L1 domain-containing protein 1-like
10438	C1D	C1D nuclear receptor corepressor
116832	RPL39L	ribosomal protein L39-like
10242	KCNMB2	potassium large conductance calcium-activated channel, subfamily M, beta member 2
6188	RPS3	ribosomal protein S3
391739	CCT6P2	chaperonin containing TCP1, subunit 6 (zeta) pseudogene 2
81343	OR10V2P	olfactory receptor, family 10, subfamily V, member 2 pseudogene
100126476	TRNAL-CAA	transfer RNA leucine (anticodon CAA)
6389	SDHA	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)
117247	SLC16A10	solute carrier family 16, member 10 (aromatic amino acid transporter)
2444	FRK	fyn-related kinase
8314	BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)
26524	LATS2	LATS, large tumor suppressor, homolog 2 (Drosophila)
152789	JAKMIP1	janus kinase and microtubule interacting protein 1
19	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1
1050	CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha
441548	LOC441548	BTB (POZ) domain containing 7 pseudogene
650560	DDX3YP3	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked pseudogene 3
8061	FOSL1	FOS-like antigen 1
391	RHOG	ras homolog gene family, member G (rho G)
134957	STXBP5	syntaxin binding protein 5 (tomosyn)
55234	SMU1	smu-1 suppressor of mec-8 and unc-52 homolog (C. elegans)
1043	CD52	CD52 molecule
100129750	[No Symbol]	[No Name]
729633	MRS2P2	MRS2 magnesium homeostasis factor homolog (S. cerevisiae) pseudogene 2
7056	THBD	thrombomodulin
91754	NEK9	NIMA (never in mitosis gene a)- related kinase 9
55196	C12orf35	chromosome 12 open reading frame 35
3397	ID1	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein
401675	OR56B3P	olfactory receptor, family 56, subfamily B, member 3 pseudogene
84216	TMEM117	transmembrane protein 117
387707	CC2D2B	coiled-coil and C2 domain containing 2B
3964	LGALS8	lectin, galactoside-binding, soluble, 8
54809	SAMD9	sterile alpha motif domain containing 9
9724	UTP14C	UTP14, U3 small nucleolar ribonucleoprotein, homolog C (yeast)
7014	TERF2	telomeric repeat binding factor 2
57489	ODF2L	outer dense fiber of sperm tails 2-like
340286	FAM183B	acyloxyacyl hydrolase (neutrophil)
6477	SIAH1	seven in absentia homolog 1 (Drosophila)
6616	SNAP25	synaptosomal-associated protein, 25kDa
100129442	[No Symbol]	[No Name]
1656	DDX6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6
7594	ZNF43	zinc finger protein 43
442221	LOC442221	regulator of chromosome condensation 2 pseudogene
112476	PRRT2	proline-rich transmembrane protein 2
327659	HDHD1P2	haloacid dehalogenase-like hydrolase domain containing 1 pseudogene 2
727916	LOC727916	hypothetical protein LOC727916
83866	TTTY11	testis-specific transcript, Y-linked 11 (non-protein coding)
8208	CHAF1B	chromatin assembly factor 1, subunit B (p60)
9882	TBC1D4	TBC1 domain family, member 4
29063	ZCCHC4	zinc finger, CCHC domain containing 4
340665	CYP26C1	cytochrome P450, family 26, subfamily C, polypeptide 1
643596	RNF224	ring finger protein 224
100129464	CXorf28	chromosome X open reading frame 28
8580	OR8C1P	olfactory receptor, family 8, subfamily C, member 1 pseudogene
50943	FOXP3	forkhead box P3
642590	LOC642590	spermine synthase pseudogene
6453	ITSN1	intersectin 1 (SH3 domain protein)
594	BCKDHB	branched chain keto acid dehydrogenase E1, beta polypeptide
402214	RPL13AP13	ribosomal protein L13a pseudogene 13
7690	ZNF131	zinc finger protein 131
729259	RPL17P43	ribosomal protein L17 pseudogene 43
54472	TOLLIP	toll interacting protein
389768	LOC389768	potassium channel tetramerisation domain containing 1 pseudogene
3012	HIST1H2AE	histone cluster 1, H2ae
391189	OR11L1	olfactory receptor, family 11, subfamily L, member 1
100132835	[No Symbol]	[No Name]
9790	BMS1	BMS1 homolog, ribosome assembly protein (yeast)
928	CD9	CD9 molecule
400165	C13orf35	chromosome 13 open reading frame 35
284086	NEK8	NIMA (never in mitosis gene a)- related kinase 8
6625	SNRNP70	small nuclear ribonucleoprotein 70kDa (U1)
100131731	[No Symbol]	[No Name]
7743	ZNF189	zinc finger protein 189
2560	GABRB1	gamma-aminobutyric acid (GABA) A receptor, beta 1
339456	TMEM52	transmembrane protein 52
100130921	LOC100130921	hypothetical protein LOC100130921
5431	POLR2B	polymerase (RNA) II (DNA directed) polypeptide B, 140kDa
29930	PCDHB1	protocadherin beta 1
147711	ZNF285B	zinc finger protein 285B, pseudogene
386675	KRTAP10-7	keratin associated protein 10-7
761	CA3	carbonic anhydrase III, muscle specific
3423	IDS	iduronate 2-sulfatase
1054	CEBPG	CCAAT/enhancer binding protein (C/EBP), gamma
337879	KRTAP8-1	keratin associated protein 8-1
3394	IRF8	interferon regulatory factor 8
81224	OR5AN2P	olfactory receptor, family 5, subfamily AN, member 2 pseudogene
23558	WBP2	WW domain binding protein 2
161394	SAMD15	sterile alpha motif domain containing 15
27125	AFF4	AF4/FMR2 family, member 4
9830	TRIM14	tripartite motif containing 14
79089	TMUB2	transmembrane and ubiquitin-like domain containing 2
100132652	[No Symbol]	[No Name]
644790	RPS15AP11	ribosomal protein S15a pseudogene 11
27	ABL2	v-abl Abelson murine leukemia viral oncogene homolog 2
84913	ATOH8	atonal homolog 8 (Drosophila)
5540	PPYR1	pancreatic polypeptide receptor 1
54682	MANSC1	MANSC domain containing 1
574447	MIR146B	microRNA 146b
117584	RFFL	ring finger and FYVE-like domain containing 1
643167	LOC643167	RNA binding motif protein 39 pseudogene
400657	LOC400657	hypothetical LOC400657
643866	CBLN3	cerebellin 3 precursor
644335	LOC644335	Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans) pseudogene
92370	ACPL2	acid phosphatase-like 2
245937	DEFB124	defensin, beta 124
80022	MYO15B	myosin XVB pseudogene
646012	LOC646012	aurora kinase A interacting protein 1 pseudogene
2231	FDX1P1	ferredoxin 1 pseudogene 1
23436	CELA3B	chymotrypsin-like elastase family, member 3B
7976	FZD3	frizzled family receptor 3
100132765	[No Symbol]	[No Name]
137	ADORA2BP1	adenosine A2b receptor pseudogene 1
594841	WDR45P	WDR45 pseudogene
9704	DHX34	DEAH (Asp-Glu-Ala-His) box polypeptide 34
441617	LOC441617	hypothetical LOC441617
83932	C1orf124	chromosome 1 open reading frame 124
54487	DGCR8	DiGeorge syndrome critical region gene 8
55246	CCDC25	coiled-coil domain containing 25
64084	CLSTN2	calsyntenin 2
11167	FSTL1	follistatin-like 1
81282	OR51G2	olfactory receptor, family 51, subfamily G, member 2
554206	LOC554206	hypothetical LOC554206
391359	LOC391359	epithelial membrane protein 2 pseudogene
196074	METTL15	methyltransferase like 15
387869	LOC387869	microtubule-associated proteins 1A/1B light chain 3B-like
10681	GNB5	guanine nucleotide binding protein (G protein), beta 5
11009	IL24	interleukin 24
27145	FILIP1	filamin A interacting protein 1
51110	LACTB2	lactamase, beta 2
100130729	[No Symbol]	[No Name]
57101	ANO2	anoctamin 2
27107	ZBTB11	zinc finger and BTB domain containing 11
81140	OR9R1P	olfactory receptor, family 9, subfamily R, member 1 pseudogene
10314	LANCL1	LanC lantibiotic synthetase component C-like 1 (bacterial)
151903	CCDC12	coiled-coil domain containing 12
54098	C1QBPP	complement component 1, q subcomponent binding protein, pseudogene
100127974	LOC100127974	hypothetical LOC100127974
24148	PRPF6	PRP6 pre-mRNA processing factor 6 homolog (S. cerevisiae)
29101	SSU72	SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae)
2971	GTF3A	general transcription factor IIIA
342531	ALOX15P1	arachidonate 15-lipoxygenase pseudogene 1
9706	ULK2	unc-51-like kinase 2 (C. elegans)
100132006	LOC100132006	hypothetical protein LOC100132006
100130763	[No Symbol]	[No Name]
3925	STMN1	stathmin 1
84992	PIGY	phosphatidylinositol glycan anchor biosynthesis, class Y
390329	OR6U2P	olfactory receptor, family 6, subfamily U, member 2 pseudogene
100131885	[No Symbol]	[No Name]
4018	LPA	lipoprotein, Lp(a)
266724	HSPA9P1	heat shock 70kDa protein 9 pseudogene 1
9388	LIPG	lipase, endothelial
7700	ZNF141	zinc finger protein 141
22969	RPL41P3	ribosomal protein L41 pseudogene 3
85451	UNK	unkempt homolog (Drosophila)
729708	TPI1P1	triosephosphate isomerase 1 pseudogene 1
9863	MAGI2	membrane associated guanylate kinase, WW and PDZ domain containing 2
9180	OSMR	oncostatin M receptor
4210	MEFV	Mediterranean fever
151477	C2orf52	chromosome 2 open reading frame 52
1039	CDR2	cerebellar degeneration-related protein 2, 62kDa
26823	RNU12-2P	RNA, U12 small nuclear 2, pseudogene
401647	GOLGA7B	golgin A7 family, member B
65981	CAPRIN2	caprin family member 2
384	ARG2	arginase, type II
84861	KLHL22	kelch-like 22 (Drosophila)
8512	MBL1P	mannose-binding lectin (protein A) 1, pseudogene
2972	BRF1	BRF1 homolog, subunit of RNA polymerase III transcription initiation factor IIIB (S. cerevisiae)
129684	CNTNAP5	contactin associated protein-like 5
256227	STEAP1B	STEAP family member 1B
9667	SAFB2	scaffold attachment factor B2
2196	FAT2	FAT tumor suppressor homolog 2 (Drosophila)
728567	RPL23AP48	ribosomal protein L23a pseudogene 48
92736	OTOP2	otopetrin 2
728097	FAM8A2P	family with sequence similarity 8, member A1 pseudogene
4817	NIT1	nitrilase 1
84440	RAB11FIP4	RAB11 family interacting protein 4 (class II)
100129896	[No Symbol]	[No Name]
400506	C16orf88	chromosome 16 open reading frame 88
5525	PPP2R5A	protein phosphatase 2, regulatory subunit B', alpha
729926	[No Symbol]	[No Name]
216	ALDH1A1	aldehyde dehydrogenase 1 family, member A1
26002	MOXD1	monooxygenase, DBH-like 1
200504	GKN2	gastrokine 2
123720	WHAMM	WAS protein homolog associated with actin, golgi membranes and microtubules
66008	TRAK2	trafficking protein, kinesin binding 2
219982	OR5A1	olfactory receptor, family 5, subfamily A, member 1
51703	ACSL5	acyl-CoA synthetase long-chain family member 5
166979	CDC20B	cell division cycle 20 homolog B (S. cerevisiae)
253152	EPHX4	epoxide hydrolase 4
10285	SMNDC1	survival motor neuron domain containing 1
644915	METTL15P2	methyltransferase like 15 pseudogene 2
4909	NTF4	neurotrophin 4
30008	EFEMP2	EGF containing fibulin-like extracellular matrix protein 2
29940	DSE	dermatan sulfate epimerase
100130602	LOC100130602	regulation of nuclear pre-mRNA domain containing 1A pseudogene
90352	MAGOH3P	mago-nashi homolog 2, proliferation-associated (Drosophila), pseudogene
58476	TP53INP2	tumor protein p53 inducible nuclear protein 2
54902	TTC19	tetratricopeptide repeat domain 19
81532	MOB2	Mps one binder kinase activator-like 2
57657	HCN3	hyperpolarization activated cyclic nucleotide-gated potassium channel 3
84464	SLX4	SLX4 structure-specific endonuclease subunit homolog (S. cerevisiae)
88455	ANKRD13A	ankyrin repeat domain 13A
150946	FAM59B	family with sequence similarity 59, member B
100129458	LOC100129458	cell division control protein 42 homolog
9923	ZBTB40	zinc finger and BTB domain containing 40
9107	MTMR6	myotubularin related protein 6
100133210	COX6B1P7	cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous) pseudogene 7
27255	CNTN6	contactin 6
138716	C9orf23	chromosome 9 open reading frame 23
284129	SLC26A11	solute carrier family 26, member 11
8639	AOC3	amine oxidase, copper containing 3 (vascular adhesion protein 1)
9583	ENTPD4	ectonucleoside triphosphate diphosphohydrolase 4
644669	LOC644669	ankyrin repeat domain 30B pseudogene
360200	TMPRSS9	transmembrane protease, serine 9
100131211	TMEM194B	transmembrane protein 194B
83893	SPATA16	spermatogenesis associated 16
647034	RPS14P10	ribosomal protein S14 pseudogene 10
23326	USP22	ubiquitin specific peptidase 22
5443	POMC	proopiomelanocortin
23264	ZC3H7B	zinc finger CCCH-type containing 7B
10161	LPAR6	lysophosphatidic acid receptor 6
11052	CPSF6	cleavage and polyadenylation specific factor 6, 68kDa
163486	DENND1B	DENN/MADD domain containing 1B
1859	DYRK1A	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A
644943	RASSF10	Ras association (RalGDS/AF-6) domain family (N-terminal) member 10
7415	VCP	valosin containing protein
3178	HNRNPA1	heterogeneous nuclear ribonucleoprotein A1
81352	OR7M1P	olfactory receptor, family 7, subfamily M, member 1 pseudogene
49861	CLDN20	claudin 20
100128176	LOC100128176	hypothetical protein LOC100128176
729307	LOC729307	hypothetical protein LOC729307
79830	ZMYM1	zinc finger, MYM-type 1
221527	ZBTB12	zinc finger and BTB domain containing 12
10748	KLRAP1	killer cell lectin-like receptor subfamily A pseudogene 1
344807	CD200R1L	CD200 receptor 1-like
79731	NARS2	asparaginyl-tRNA synthetase 2, mitochondrial (putative)
255798	C3orf43	chromosome 3 open reading frame 43
81566	CSRNP2	cysteine-serine-rich nuclear protein 2
57472	CNOT6	CCR4-NOT transcription complex, subunit 6
282618	IL29	interleukin 29 (interferon, lambda 1)
28465	IGHV1-46	immunoglobulin heavy variable 1-46
965	CD58	CD58 molecule
10904	BLCAP	bladder cancer associated protein
8289	ARID1A	AT rich interactive domain 1A (SWI-like)
5930	RBBP6	retinoblastoma binding protein 6
3577	CXCR1	chemokine (C-X-C motif) receptor 1
162962	ZNF836	zinc finger protein 836
285706	LOC285706	cytokine receptor-like factor 3 pseudogene
8841	HDAC3	histone deacetylase 3
100129083	LOC100129083	similar to hCG2045285
56006	C19orf61	chromosome 19 open reading frame 61
27156	RTDR1	rhabdoid tumor deletion region gene 1
84959	UBASH3B	ubiquitin associated and SH3 domain containing B
51333	ZNF771	zinc finger protein 771
391632	OR7E35P	olfactory receptor, family 7, subfamily E, member 35 pseudogene
7879	RAB7A	RAB7A, member RAS oncogene family
28999	KLF15	Kruppel-like factor 15
284697	BTBD8	BTB (POZ) domain containing 8
27154	BRPF3	bromodomain and PHD finger containing, 3
80737	C6orf27	chromosome 6 open reading frame 27
136541	PRSS58	protease, serine, 58
100130292	[No Symbol]	[No Name]
55110	MAGOHB	mago-nashi homolog B (Drosophila)
260332	ECEL1P3	endothelin converting enzyme-like 1, pseudogene 3
171019	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif, 19
100131717	[No Symbol]	[No Name]
8503	PIK3R3	phosphoinositide-3-kinase, regulatory subunit 3 (gamma)
7762	ZNF215	zinc finger protein 215
3067	HDC	histidine decarboxylase
645685	[No Symbol]	[No Name]
23550	PSD4	pleckstrin and Sec7 domain containing 4
10444	ZER1	zer-1 homolog (C. elegans)
407033	MIR30D	microRNA 30d
7150	TOP1	topoisomerase (DNA) I
3169	FOXA1	forkhead box A1
54842	MFSD6	major facilitator superfamily domain containing 6
85302	FBF1	Fas (TNFRSF6) binding factor 1
